22. 6. 4 오전 3:42
프로젝트 통계

      	  부분	   단어	문자 (공백 없이)	문자 (공백 포함)	#Files	
총:    	4587	58527	    300238	    362555	    15	
남은:   	2804	27526	    129771	    163917	    13	
고유:   	3964	55910	    289468	    348512	    15	
남은 고유:	2201	24972	    119320	    150236	    13	


개별 파일 통계:

파일 이름                      	총 부분	나머지 부분	고유 부분	남은 고유 부분	총 단어	남은 단어	고유 단어	나머지 고유 단어	총 문자 (공백 없이)	나머지 문자 (공백 없이)	고유 문자 (공백 없이)	나머지 고유 문자 (공백 없이)	총 문자 (공백 포함)	나머지 문자 (공백 포함)	고유 문자 (공백 포함)	나머지 고유 문자 (공백 포함)	
title_page.md              	   5	     0	    5	       0	  67	    0	   67	        0	         339	             0	          339	                0	         396	             0	          396	                0	
SUMMARY.md                 	  14	     0	   13	       0	  41	    0	   36	        0	         368	             0	          347	                0	         395	             0	          370	                0	
README.md                  	  12	     2	   11	       2	  93	    9	   88	        9	         556	            70	          535	               70	         635	            74	          610	               74	
introduction.md            	  63	     5	   63	       5	1287	   30	 1287	       30	        6994	           120	         6994	              120	        8169	           159	         8169	              159	
dependent_type_theory.md   	 354	   113	  340	      99	5903	 1631	 5838	     1566	       29143	          6253	        28938	             6048	       35544	          8580	        35263	             8299	
propositions_and_proofs.md 	 390	   153	  371	     137	5266	 1219	 5176	     1132	       27552	          5241	        27195	             4896	       32982	          6894	        32517	             6441	
quantifiers_and_equality.md	 362	   175	  331	     146	5510	 2192	 5281	     1968	       26090	          8158	        25240	             7342	       32190	         11250	        31022	            10119	
tactics.md                 	 846	   595	  576	     327	7288	 3055	 6274	     2046	       36314	         13119	        32106	             8941	       43847	         16858	        38451	            11495	
interacting_with_lean.md   	 326	   133	  303	     111	4905	 1610	 4763	     1472	       25778	          7243	        25213	             6694	       30767	          9297	        30027	             8576	
inductive_types.md         	 726	   423	  640	     340	8595	 2914	 8210	     2538	       44957	         14055	        43268	            12407	       54092	         18061	        51917	            15933	
induction_and_recursion.md 	 600	   367	  524	     297	7420	 3562	 7138	     3303	       36952	         15185	        35754	            14115	       45281	         20091	        43641	            18596	
structures_and_records.md  	 109	    58	   87	      37	1325	  477	 1256	      412	        6993	          2125	         6749	             1897	        8343	          2739	         8033	             2448	
type_classes.md            	 293	   293	  273	     273	3919	 3919	 3777	     3777	       21444	         21444	        20806	            20806	       25410	         25410	        24604	            24604	
conv.md                    	 126	   126	   84	      84	 820	  820	  688	      688	        3962	          3962	         3486	             3486	        4845	          4845	         4191	             4191	
axioms_and_computation.md  	 361	   361	  343	     343	6088	 6088	 6031	     6031	       32796	         32796	        32498	            32498	       39659	         39659	        39301	            39301	
